# contains logged_avg rows from train_pytorch logging and per-step tqdm_step rows from tqdm output
# gtdual zero-init v3 two-stage run; stage2 initializes from stage1 step 5000
exp	config	source_job_id	job_state	row_type	timestamp	step	total_steps	display_step	loss	lr	grad_norm	interval_time_s	action_loss	action_loss_raw	aux_loss	aux_gt_loss	aux_pi3x_loss	aux_xy_loss	aux_z_loss	aux_scale_mean	aux_gt_frac	aux_pi3x_frac	pytorch_weight_path_override
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	15:13:23.389	3400		3400	0.3186	9.17e-06	77.09	214.1	0.0160	0.1601	0.3026	0.1797	0.1229	0.1519	0.1506	0.0669	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	15:17:01.702	3500		3500	0.3227	8.47e-06	79.11	218.3	0.0163	0.1632	0.3064	0.1842	0.1222	0.1520	0.1544	0.0631	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	15:20:36.690	3600		3600	0.3177	7.79e-06	61.80	215.0	0.0166	0.1656	0.3011	0.1824	0.1187	0.1506	0.1505	0.0600	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	15:24:11.531	3700		3700	0.3232	7.14e-06	49.58	214.8	0.0157	0.1573	0.3074	0.1870	0.1205	0.1502	0.1573	0.0563	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	15:27:46.245	3800		3800	0.3194	6.52e-06	46.96	214.7	0.0158	0.1580	0.3036	0.1843	0.1194	0.1500	0.1537	0.0538	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	15:31:22.209	3900		3900	0.3236	5.93e-06	39.06	216.0	0.0163	0.1630	0.3073	0.1922	0.1152	0.1497	0.1576	0.0569	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	15:35:19.764	4000		4000	0.3219	5.39e-06	45.23	237.6	0.0162	0.1616	0.3057	0.1871	0.1186	0.1499	0.1559	0.0538	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	15:38:55.550	4100		4100	0.3213	4.88e-06	39.96	215.8	0.0164	0.1644	0.3048	0.1850	0.1198	0.1495	0.1553	0.0581	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	15:42:32.039	4200		4200	0.3190	4.42e-06	29.16	216.5	0.0161	0.1605	0.3030	0.1844	0.1186	0.1495	0.1535	0.0694	0.5000	0.5000	<none>
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual	8258893	COMPLETED	logged_avg	15:46:21.385	4300		4300	0.3186	4.01e-06	31.59	229.3	0.0158	0.1581	0.3028	0.1865	0.1163	0.1494	0.1534	0.0575	0.5000	0.5000	<none>
